Date,Open,High,Low,Close,Volume Traded,Value Traded (SAR),Number of Trades,Index,Month,Quarter,Daily_Return_Pct
2025-09-22,10802.27,10879.03,10777.73,10876.42,237687722.0,5159190966.19,584161.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-4.813656034901481
2025-09-21,10800.13,10862.05,10758.92,10808.68,238221169.0,4737845882.11,487437.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-0.6228152278047405
2025-09-18,10667.36,10780.69,10629.54,10780.69,565661918.0,16417634767.55,590046.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-0.2589585407283712
2025-09-17,10533.5,10650.39,10524.57,10650.39,212509643.0,4644822826.42,562834.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-1.2086424894881542
2025-09-16,10429.59,10518.73,10406.69,10518.73,222235668.0,4322071383.22,498928.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-1.2361988622012876
2025-09-15,10426.84,10445.05,10366.59,10427.06,228452533.0,6551261018.23,490289.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-0.871493041460325
2025-09-14,10436.93,10452.17,10371.16,10433.98,144061490.0,2768810861.96,392573.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.06636578287648742
2025-09-11,10502.62,10517.6,10430.96,10453.06,178738517.0,3555955616.65,462385.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.1828640652943525
2025-09-10,10519.37,10519.52,10456.41,10498.04,201864229.0,3713418643.2,509463.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.43030461893456273
2025-09-09,10499.99,10529.17,10421.08,10529.17,207091021.0,4339223083.21,586209.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.2965315430308868
2025-09-08,10593.44,10608.23,10486.17,10497.05,221529504.0,4104830018.13,509915.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-0.3050572837175247
2025-09-07,10664.75,10674.53,10587.01,10593.97,111909797.0,2203589261.2,344009.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.9233070243544583
2025-09-04,10620.39,10663.92,10616.62,10655.61,146063531.0,3240754597.32,430635.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.5818404243168596
2025-09-03,10649.54,10695.74,10615.82,10619.1,153160223.0,3325705275.84,438057.0,Tadwul All Share Index (TASI),2025-09,2025Q3,-0.34263641405795076
2025-09-02,10669.7,10676.51,10611.95,10667.44,189082138.0,4328848004.24,479789.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.45521748547427965
2025-09-01,10699.66,10709.64,10644.26,10670.56,182608131.0,3872936384.69,487257.0,Tadwul All Share Index (TASI),2025-09,2025Q3,0.029247879528715437
2025-08-31,10760.09,10771.41,10678.98,10696.89,163929617.0,3161067844.89,355894.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.24675368490501004
2025-08-28,10807.97,10823.7,10732.31,10732.31,194229506.0,3942703608.45,504830.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.3311242800477565
2025-08-27,10882.88,10883.85,10808.45,10808.45,182285258.0,3998284235.69,443959.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.7094465217646562
2025-08-26,10898.52,10900.4,10855.47,10874.74,350969707.0,7318975394.73,507228.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.613316432976041
2025-08-25,10901.0,10921.5,10887.92,10898.04,236496641.0,3974291227.17,490573.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.21425799605325757
2025-08-24,10910.79,10966.75,10904.53,10904.53,209160668.0,4139957915.8,442593.0,Tadwul All Share Index (TASI),2025-08,2025Q3,0.05955199283540491
2025-08-21,10868.41,10889.57,10860.17,10866.83,270898677.0,5210110143.48,583043.0,Tadwul All Share Index (TASI),2025-08,2025Q3,-0.34572787639632896
