Date,Open,High,Low,Close,Value Traded (SAR),Number of Trades,Size,Month,Quarter,Daily_Return_Pct
2025-12-29,4096.39,4126.08,4090.14,4126.08,611499786.15,82937,Tadawul Medium Cap Index,2025-12,2025Q4,1.5445497770296246
2025-12-28,4152.43,4152.43,4097.14,4101.7,542099238.62,71410,Tadawul Medium Cap Index,2025-12,2025Q4,-0.5908756010547522
2025-12-25,4147.46,4152.93,4136.31,4151.48,379028276.31,41736,Tadawul Medium Cap Index,2025-12,2025Q4,1.213643123582897
2025-12-24,4186.52,4187.07,4140.73,4145.63,626887751.88,76064,Tadawul Medium Cap Index,2025-12,2025Q4,-0.1409136018961754
2025-12-23,4168.95,4185.76,4161.57,4184.53,917365739.99,96544,Tadawul Medium Cap Index,2025-12,2025Q4,0.9383374782602205
2025-12-22,4166.89,4168.59,4135.79,4168.59,948499428.35,107870,Tadawul Medium Cap Index,2025-12,2025Q4,-0.3809268902361662
2025-12-21,4161.48,4200.99,4161.16,4161.85,593109085.3,73225,Tadawul Medium Cap Index,2025-12,2025Q4,-0.16168536603503592
2025-12-18,4145.93,4161.17,4119.06,4154.19,1701336242.74,106393,Tadawul Medium Cap Index,2025-12,2025Q4,-0.18405276499635637
2025-12-17,4152.75,4160.78,4126.52,4142.89,994491815.9,97408,Tadawul Medium Cap Index,2025-12,2025Q4,-0.27201452027950657
2025-12-16,4213.71,4216.85,4154.89,4159.93,1016339403.65,102194,Tadawul Medium Cap Index,2025-12,2025Q4,0.4113070827369336
2025-12-15,4205.27,4212.94,4180.87,4212.94,781372353.42,104291,Tadawul Medium Cap Index,2025-12,2025Q4,1.2743002887067645
2025-12-14,4264.45,4265.11,4204.15,4204.15,591724529.9,69370,Tadawul Medium Cap Index,2025-12,2025Q4,-0.208642895460176
2025-12-11,4274.93,4275.11,4256.36,4271.51,908691239.73,97025,Tadawul Medium Cap Index,2025-12,2025Q4,1.6022263715614438
2025-12-10,4263.15,4269.32,4255.03,4264.76,992500574.48,90956,Tadawul Medium Cap Index,2025-12,2025Q4,-0.15802374336008063
2025-12-09,4223.52,4262.17,4219.48,4262.17,1109292335.67,108431,Tadawul Medium Cap Index,2025-12,2025Q4,-0.060730263836650256
2025-12-08,4224.59,4229.16,4200.72,4223.19,836942186.4,86410,Tadawul Medium Cap Index,2025-12,2025Q4,-0.9145576079790496
2025-12-07,4227.46,4238.1,4215.58,4222.59,546315835.47,57445,Tadawul Medium Cap Index,2025-12,2025Q4,-0.014207269859978222
2025-12-04,4204.33,4244.49,4201.38,4219.35,1228199589.19,117049,Tadawul Medium Cap Index,2025-12,2025Q4,-0.07673015850461207
2025-12-03,4179.2,4199.99,4168.24,4198.4,958902650.52,103585,Tadawul Medium Cap Index,2025-12,2025Q4,-0.49652197613377913
2025-12-02,4199.58,4215.12,4172.39,4177.88,1058317933.75,111831,Tadawul Medium Cap Index,2025-12,2025Q4,-0.488757621951208
2025-12-01,4211.67,4225.33,4183.92,4203.78,1112140723.95,116996,Tadawul Medium Cap Index,2025-12,2025Q4,0.6199316399704946
